timestamp,event_type,details
2025-06-04T15:35:05.657792900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056577776 }, name: None, event_type: MouseMove { x: 1025.0, y: 687.0 } }"
2025-06-04T15:35:05.661799300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056617843 }, name: None, event_type: MouseMove { x: 1041.0, y: 692.0 } }"
2025-06-04T15:35:05.666044700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056659980 }, name: None, event_type: MouseMove { x: 1055.0, y: 697.0 } }"
2025-06-04T15:35:05.669778800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056697636 }, name: None, event_type: MouseMove { x: 1069.0, y: 702.0 } }"
2025-06-04T15:35:05.671795500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056717808 }, name: None, event_type: MouseMove { x: 1083.0, y: 705.0 } }"
2025-06-04T15:35:05.677501700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056774866 }, name: None, event_type: MouseMove { x: 1096.0, y: 708.0 } }"
2025-06-04T15:35:05.679787100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056797740 }, name: None, event_type: MouseMove { x: 1110.0, y: 712.0 } }"
2025-06-04T15:35:05.684024200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056839955 }, name: None, event_type: MouseMove { x: 1125.0, y: 715.0 } }"
2025-06-04T15:35:05.687775100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056877611 }, name: None, event_type: MouseMove { x: 1141.0, y: 719.0 } }"
2025-06-04T15:35:05.691766600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056917520 }, name: None, event_type: MouseMove { x: 1157.0, y: 723.0 } }"
2025-06-04T15:35:05.695775100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056957616 }, name: None, event_type: MouseMove { x: 1171.0, y: 726.0 } }"
2025-06-04T15:35:05.699776300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051056997589 }, name: None, event_type: MouseMove { x: 1186.0, y: 731.0 } }"
2025-06-04T15:35:05.703787500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057037724 }, name: None, event_type: MouseMove { x: 1206.0, y: 736.0 } }"
2025-06-04T15:35:05.707770700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057077561 }, name: None, event_type: MouseMove { x: 1227.0, y: 742.0 } }"
2025-06-04T15:35:05.711773+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057117591 }, name: None, event_type: MouseMove { x: 1249.0, y: 748.0 } }"
2025-06-04T15:35:05.715757700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057157426 }, name: None, event_type: MouseMove { x: 1271.0, y: 754.0 } }"
2025-06-04T15:35:05.719878600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057198639 }, name: None, event_type: MouseMove { x: 1290.0, y: 759.0 } }"
2025-06-04T15:35:05.723771800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057237577 }, name: None, event_type: MouseMove { x: 1311.0, y: 765.0 } }"
2025-06-04T15:35:05.727796+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057277815 }, name: None, event_type: MouseMove { x: 1333.0, y: 771.0 } }"
2025-06-04T15:35:05.731778600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057317635 }, name: None, event_type: MouseMove { x: 1354.0, y: 770.0 } }"
2025-06-04T15:35:05.735785600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057357742 }, name: None, event_type: MouseMove { x: 1374.0, y: 769.0 } }"
2025-06-04T15:35:05.739779+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057397647 }, name: None, event_type: MouseMove { x: 1386.0, y: 772.0 } }"
2025-06-04T15:35:05.741765900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057417521 }, name: None, event_type: MouseMove { x: 1385.0, y: 768.0 } }"
2025-06-04T15:35:05.749812+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057497965 }, name: None, event_type: MouseMove { x: 1385.0, y: 768.0 } }"
2025-06-04T15:35:05.749983100+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057499584 }, name: None, event_type: MouseMove { x: 1384.0, y: 767.0 } }"
2025-06-04T15:35:05.755834500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057558195 }, name: None, event_type: MouseMove { x: 1382.0, y: 768.0 } }"
2025-06-04T15:35:05.757845200+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057578267 }, name: None, event_type: MouseMove { x: 1381.0, y: 770.0 } }"
2025-06-04T15:35:05.761856900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057618389 }, name: None, event_type: MouseMove { x: 1379.0, y: 768.0 } }"
2025-06-04T15:35:05.765823700+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057658047 }, name: None, event_type: MouseMove { x: 1380.0, y: 767.0 } }"
2025-06-04T15:35:05.769820600+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057698024 }, name: None, event_type: MouseMove { x: 1379.0, y: 767.0 } }"
2025-06-04T15:35:05.773848400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057738314 }, name: None, event_type: MouseMove { x: 1379.0, y: 767.0 } }"
2025-06-04T15:35:05.777882500+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057778630 }, name: None, event_type: MouseMove { x: 1376.0, y: 767.0 } }"
2025-06-04T15:35:05.781842800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057818090 }, name: None, event_type: MouseMove { x: 1377.0, y: 767.0 } }"
2025-06-04T15:35:05.785866300+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057858455 }, name: None, event_type: MouseMove { x: 1377.0, y: 767.0 } }"
2025-06-04T15:35:05.789860400+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057898439 }, name: None, event_type: MouseMove { x: 1376.0, y: 768.0 } }"
2025-06-04T15:35:05.793824800+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057938065 }, name: None, event_type: MouseMove { x: 1374.0, y: 767.0 } }"
2025-06-04T15:35:05.798204900+05:30,MouseMove,"Event { time: SystemTime { intervals: 133935051057981894 }, name: None, event_type: MouseMove { x: 1375.0, y: 768.0 } }"
